mode,condition,bw,flatness,peaks,topPeakPower,topPeakBW,fskPairs,fskValley,cv,duty,transitions,ook,baudRate,baudConf,costasScore,costasMode
rtty,clean-1000Hz,1306,0.0048,20,68.0,17.6,11,4,0.004,0.405,42.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1394,0.0047,20,65.7,17.6,11,6,0.005,0.270,48.0,false,6.25,1.000,0.601,ft8
rtty,clean-1000Hz,1394,0.0037,20,66.7,17.6,11,4,0.005,0.300,48.0,false,6.25,1.000,0.754,js8call
rtty,clean-1000Hz,1306,0.0048,20,68.0,17.6,11,4,0.004,0.405,42.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1394,0.0047,20,65.7,17.6,11,6,0.005,0.270,48.0,false,6.25,1.000,0.601,ft8
rtty,clean-1000Hz,1482,0.0033,20,67.2,17.6,11,2,0.004,0.260,44.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1300,0.0054,20,66.5,17.6,11,6,0.004,0.250,42.0,false,6.25,1.000,0.522,js8call
rtty,clean-1000Hz,1482,0.0033,20,67.2,17.6,11,2,0.004,0.260,44.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1394,0.0047,20,65.7,17.6,11,6,0.005,0.270,48.0,false,6.25,1.000,0.601,ft8
rtty,clean-1000Hz,1482,0.0033,20,67.2,17.6,11,2,0.004,0.260,44.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1394,0.0047,20,65.7,17.6,11,6,0.005,0.270,48.0,false,6.25,1.000,0.601,ft8
rtty,clean-1000Hz,1306,0.0048,20,68.0,17.6,11,4,0.004,0.405,42.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1259,0.0048,20,68.9,11.7,11,10,0.004,0.370,31.0,false,6.25,1.000,0.532,ft8
rtty,clean-1000Hz,1300,0.0054,20,66.5,17.6,11,6,0.004,0.250,42.0,false,6.25,1.000,0.522,js8call
rtty,clean-1500Hz,990,0.0107,20,63.7,23.4,10,7,0.003,0.500,41.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,990,0.0104,20,64.2,17.6,10,10,0.002,0.440,31.5,false,6.25,1.000,0.602,ft8
rtty,clean-1500Hz,990,0.0104,20,64.2,17.6,10,10,0.002,0.440,31.5,false,6.25,1.000,0.602,ft8
rtty,clean-1500Hz,990,0.0107,20,63.7,23.4,10,7,0.003,0.500,41.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,990,0.0107,20,63.7,23.4,10,7,0.003,0.500,41.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,1166,0.0067,20,63.3,23.4,9,2,0.003,0.250,46.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,990,0.0118,20,62.2,17.6,10,7,0.003,0.250,42.0,false,6.25,1.000,0.544,js8call
rtty,clean-1500Hz,896,0.0128,20,64.5,17.6,10,10,0.002,0.335,31.0,false,6.25,1.000,0.541,ft8
rtty,clean-1500Hz,1166,0.0067,20,63.3,23.4,9,2,0.003,0.250,46.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,1166,0.0067,20,63.3,23.4,9,2,0.003,0.250,46.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,1136,0.0084,20,61.4,23.4,10,5,0.003,0.280,48.0,false,6.25,1.000,0.624,ft8
rtty,clean-1500Hz,1166,0.0065,20,63.0,23.4,9,2,0.003,0.250,44.0,false,6.25,1.000,0.556,js8call
rtty,clean-1500Hz,990,0.0104,20,64.2,17.6,10,10,0.002,0.440,31.5,false,6.25,1.000,0.602,ft8
rtty,clean-1500Hz,990,0.0110,20,63.1,17.6,10,8,0.003,0.255,45.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,1166,0.0067,20,63.3,23.4,9,2,0.003,0.250,46.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,990,0.0118,20,62.2,17.6,10,7,0.003,0.250,42.0,false,6.25,1.000,0.544,js8call
rtty,clean-1500Hz,1166,0.0065,20,63.0,23.4,9,2,0.003,0.250,44.0,false,6.25,1.000,0.556,js8call
rtty,clean-1500Hz,990,0.0110,20,63.1,17.6,10,8,0.003,0.255,45.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,990,0.0109,20,62.8,17.6,10,8,0.003,0.250,42.0,false,6.25,1.000,0.456,js8call
rtty,clean-1500Hz,1136,0.0084,20,61.4,23.4,10,5,0.003,0.280,48.0,false,6.25,1.000,0.624,ft8
rtty,clean-1500Hz,1136,0.0067,20,62.6,17.6,10,5,0.003,0.300,48.0,false,6.25,1.000,0.757,ft8
rtty,clean-1500Hz,1136,0.0067,20,62.6,17.6,10,5,0.003,0.300,48.0,false,6.25,1.000,0.757,ft8
rtty,clean-1500Hz,990,0.0104,20,64.2,17.6,10,10,0.002,0.440,31.5,false,6.25,1.000,0.602,ft8
rtty,clean-1500Hz,1136,0.0084,20,61.4,23.4,10,5,0.003,0.280,48.0,false,6.25,1.000,0.624,ft8
rtty,clean-1500Hz,990,0.0118,20,62.2,17.6,10,7,0.003,0.250,42.0,false,6.25,1.000,0.544,js8call
rtty,clean-1500Hz,990,0.0110,20,63.1,17.6,10,8,0.003,0.255,45.0,false,6.25,1.000,0.486,js8call
rtty,clean-1500Hz,990,0.0118,20,62.2,17.6,10,7,0.003,0.250,42.0,false,6.25,1.000,0.544,js8call
rtty,clean-1500Hz,990,0.0109,20,62.8,17.6,10,8,0.003,0.250,42.0,false,6.25,1.000,0.456,js8call
rtty,clean-1500Hz,990,0.0118,20,62.2,17.6,10,7,0.003,0.250,42.0,false,6.25,1.000,0.544,js8call
rtty,clean-1500Hz,990,0.0107,20,63.7,23.4,10,7,0.003,0.500,41.0,false,6.25,1.000,0.486,js8call
rtty,clean-2125Hz,1166,0.0066,20,63.5,17.6,10,4,0.002,0.495,68.0,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1078,0.0085,20,63.7,17.6,10,6,0.002,0.465,71.0,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,990,0.0107,20,63.7,17.6,10,6,0.002,0.490,73.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,clean-2125Hz,1078,0.0085,20,63.7,17.6,10,6,0.002,0.465,71.0,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,clean-2125Hz,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,clean-2125Hz,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,clean-2125Hz,1078,0.0084,20,62.9,17.6,10,7,0.002,0.475,66.0,false,6.25,1.000,0.457,ft8
rtty,clean-2125Hz,1078,0.0084,20,62.9,17.6,10,7,0.002,0.475,66.0,false,6.25,1.000,0.457,ft8
rtty,clean-2125Hz,1171,0.0063,20,63.8,17.6,9,2,0.002,0.480,69.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1078,0.0085,20,63.7,17.6,10,6,0.002,0.465,71.0,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,990,0.0107,20,63.7,17.6,10,6,0.002,0.490,73.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,896,0.0126,20,65.0,11.7,10,9,0.002,0.505,78.5,false,6.25,1.000,0.532,ft8
rtty,clean-2125Hz,1078,0.0098,20,61.8,17.6,10,6,0.002,0.470,62.5,false,6.25,1.000,0.601,ft8
rtty,clean-2125Hz,990,0.0107,20,63.7,17.6,10,6,0.002,0.490,73.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1136,0.0067,20,62.7,17.6,10,6,0.002,0.515,61.0,false,6.25,1.000,0.754,js8call
rtty,clean-2125Hz,1078,0.0098,20,61.8,17.6,10,6,0.002,0.470,62.5,false,6.25,1.000,0.601,ft8
rtty,clean-2125Hz,896,0.0126,20,65.0,11.7,10,9,0.002,0.505,78.5,false,6.25,1.000,0.532,ft8
rtty,clean-2125Hz,1171,0.0063,20,63.8,17.6,9,2,0.002,0.480,69.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1171,0.0063,20,63.8,17.6,9,2,0.002,0.480,69.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1136,0.0067,20,62.7,17.6,10,6,0.002,0.515,61.0,false,6.25,1.000,0.754,js8call
rtty,clean-2125Hz,1078,0.0084,20,62.9,17.6,10,7,0.002,0.475,66.0,false,6.25,1.000,0.457,ft8
rtty,clean-2125Hz,1171,0.0063,20,63.8,17.6,9,2,0.002,0.480,69.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1136,0.0067,20,62.7,17.6,10,6,0.002,0.515,61.0,false,6.25,1.000,0.754,js8call
rtty,clean-2125Hz,990,0.0107,20,63.7,17.6,10,6,0.002,0.490,73.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1171,0.0063,20,63.8,17.6,9,2,0.002,0.480,69.5,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1166,0.0066,20,63.5,17.6,10,4,0.002,0.495,68.0,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,1078,0.0085,20,63.7,17.6,10,6,0.002,0.465,71.0,false,6.25,1.000,0.490,js8call
rtty,clean-2125Hz,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,clean-2500Hz,1166,0.0067,20,63.5,17.6,10,4,0.002,0.250,46.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0085,20,63.6,17.6,10,6,0.001,0.250,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1166,0.0067,20,63.5,17.6,10,4,0.002,0.250,46.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1171,0.0064,20,63.5,17.6,9,2,0.002,0.260,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0085,20,63.6,17.6,10,6,0.001,0.250,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0084,20,63.1,17.6,10,7,0.002,0.250,42.0,false,6.25,1.000,0.457,ft8
rtty,clean-2500Hz,984,0.0106,20,64.5,11.7,10,9,0.001,0.535,31.5,false,6.25,1.000,0.728,js8call
rtty,clean-2500Hz,1078,0.0085,20,63.6,17.6,10,6,0.001,0.250,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1171,0.0064,20,63.5,17.6,9,2,0.002,0.260,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,896,0.0126,20,64.9,11.7,10,9,0.001,0.390,29.0,false,6.25,1.000,0.532,ft8
rtty,clean-2500Hz,1078,0.0085,20,63.6,17.6,10,6,0.001,0.250,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1166,0.0067,20,63.5,17.6,10,4,0.002,0.250,46.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,990,0.0107,20,63.8,17.6,10,6,0.001,0.430,40.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1171,0.0064,20,63.5,17.6,9,2,0.002,0.260,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0098,20,61.9,17.6,10,6,0.002,0.275,48.0,false,6.25,1.000,0.601,ft8
rtty,clean-2500Hz,1078,0.0085,20,63.6,17.6,10,6,0.001,0.250,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1166,0.0067,20,63.5,17.6,10,4,0.002,0.250,46.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0098,20,61.9,17.6,10,6,0.002,0.275,48.0,false,6.25,1.000,0.601,ft8
rtty,clean-2500Hz,984,0.0106,20,64.5,11.7,10,9,0.001,0.535,31.5,false,6.25,1.000,0.728,js8call
rtty,clean-2500Hz,1078,0.0098,20,61.9,17.6,10,6,0.002,0.275,48.0,false,6.25,1.000,0.601,ft8
rtty,clean-2500Hz,1171,0.0064,20,63.5,17.6,9,2,0.002,0.260,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0084,20,63.1,17.6,10,7,0.002,0.250,42.0,false,6.25,1.000,0.457,ft8
rtty,clean-2500Hz,896,0.0126,20,64.9,11.7,10,9,0.001,0.390,29.0,false,6.25,1.000,0.532,ft8
rtty,clean-2500Hz,990,0.0107,20,63.8,17.6,10,6,0.001,0.430,40.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0084,20,63.1,17.6,10,7,0.002,0.250,42.0,false,6.25,1.000,0.457,ft8
rtty,clean-2500Hz,990,0.0107,20,63.8,17.6,10,6,0.001,0.430,40.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1166,0.0067,20,63.5,17.6,10,4,0.002,0.250,46.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,984,0.0106,20,64.5,11.7,10,9,0.001,0.535,31.5,false,6.25,1.000,0.728,js8call
rtty,clean-2500Hz,1171,0.0064,20,63.5,17.6,9,2,0.002,0.260,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-2500Hz,1078,0.0098,20,61.9,17.6,10,6,0.002,0.275,48.0,false,6.25,1.000,0.601,ft8
rtty,baud45,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,baud45,1078,0.0098,20,61.8,17.6,10,6,0.002,0.470,62.5,false,6.25,1.000,0.601,ft8
rtty,baud45,990,0.0107,20,63.7,17.6,10,6,0.002,0.490,73.5,false,6.25,1.000,0.490,js8call
rtty,baud45,1078,0.0098,20,61.8,17.6,10,6,0.002,0.470,62.5,false,6.25,1.000,0.601,ft8
rtty,baud45,1078,0.0084,20,62.9,17.6,10,7,0.002,0.475,66.0,false,6.25,1.000,0.457,ft8
rtty,baud45,1078,0.0084,20,62.9,17.6,10,7,0.002,0.475,66.0,false,6.25,1.000,0.457,ft8
rtty,baud45,1136,0.0067,20,62.7,17.6,10,6,0.002,0.515,61.0,false,6.25,1.000,0.754,js8call
rtty,baud45,1166,0.0066,20,63.5,17.6,10,4,0.002,0.495,68.0,false,6.25,1.000,0.490,js8call
rtty,baud45,1078,0.0085,20,63.7,17.6,10,6,0.002,0.465,71.0,false,6.25,1.000,0.490,js8call
rtty,baud45,1078,0.0084,20,62.9,17.6,10,7,0.002,0.475,66.0,false,6.25,1.000,0.457,ft8
rtty,baud45,1078,0.0098,20,61.8,17.6,10,6,0.002,0.470,62.5,false,6.25,1.000,0.601,ft8
rtty,baud45,990,0.0117,20,62.5,17.6,10,7,0.002,0.505,68.5,false,6.25,1.000,0.522,js8call
rtty,baud45,1136,0.0067,20,62.7,17.6,10,6,0.002,0.515,61.0,false,6.25,1.000,0.754,js8call
rtty,baud45,1136,0.0067,20,62.7,17.6,10,6,0.002,0.515,61.0,false,6.25,1.000,0.754,js8call
rtty,baud45,1078,0.0085,20,63.7,17.6,10,6,0.002,0.465,71.0,false,6.25,1.000,0.490,js8call
rtty,baud45,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,baud45,1171,0.0063,20,63.8,17.6,9,2,0.002,0.480,69.5,false,6.25,1.000,0.490,js8call
rtty,baud45,1136,0.0067,20,62.7,17.6,10,6,0.002,0.515,61.0,false,6.25,1.000,0.754,js8call
rtty,baud45,984,0.0106,20,64.5,11.7,10,9,0.002,0.510,77.0,false,6.25,1.000,0.728,js8call
rtty,baud45,1078,0.0098,20,61.8,17.6,10,6,0.002,0.470,62.5,false,6.25,1.000,0.601,ft8
rtty,baud45,896,0.0126,20,65.0,11.7,10,9,0.002,0.505,78.5,false,6.25,1.000,0.532,ft8
rtty,baud45,1171,0.0063,20,63.8,17.6,9,2,0.002,0.480,69.5,false,6.25,1.000,0.490,js8call
rtty,baud45,1166,0.0066,20,63.5,17.6,10,4,0.002,0.495,68.0,false,6.25,1.000,0.490,js8call
rtty,baud45,990,0.0107,20,63.7,17.6,10,6,0.002,0.490,73.5,false,6.25,1.000,0.490,js8call
rtty,baud45,1078,0.0084,20,62.9,17.6,10,7,0.002,0.475,66.0,false,6.25,1.000,0.457,ft8
rtty,baud45,990,0.0117,20,62.5,17.6,10,7,0.002,0.505,68.5,false,6.25,1.000,0.522,js8call
rtty,baud45,990,0.0107,20,63.7,17.6,10,6,0.002,0.490,73.5,false,6.25,1.000,0.490,js8call
rtty,baud45,1078,0.0085,20,63.7,17.6,10,6,0.002,0.465,71.0,false,6.25,1.000,0.490,js8call
rtty,baud45,896,0.0126,20,65.0,11.7,10,9,0.002,0.505,78.5,false,6.25,1.000,0.532,ft8
rtty,baud45,1166,0.0066,20,63.5,17.6,10,4,0.002,0.495,68.0,false,6.25,1.000,0.490,js8call
rtty,baud50,1037,0.0110,20,61.8,17.6,10,4,0.002,0.500,70.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1037,0.0097,20,62.2,17.6,10,4,0.002,0.505,66.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1160,0.0074,20,61.9,23.4,10,4,0.002,0.495,59.5,false,6.25,1.000,1.000,js8call
rtty,baud50,1160,0.0074,20,62.3,17.6,10,2,0.002,0.495,69.5,false,6.25,1.000,0.495,js8call
rtty,baud50,1037,0.0110,20,61.8,17.6,10,4,0.002,0.500,70.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1089,0.0110,20,60.8,23.4,10,5,0.002,0.515,67.0,false,6.25,1.000,0.540,js8call
rtty,baud50,1083,0.0098,20,61.7,17.6,10,3,0.002,0.515,68.5,false,6.25,1.000,0.523,js8call
rtty,baud50,1089,0.0110,20,60.8,23.4,10,5,0.002,0.515,67.0,false,6.25,1.000,0.540,js8call
rtty,baud50,1037,0.0110,20,61.8,17.6,10,4,0.002,0.500,70.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1037,0.0113,20,60.3,23.4,10,5,0.002,0.500,62.0,false,6.25,1.000,0.562,ft8
rtty,baud50,1083,0.0098,20,61.7,17.6,10,3,0.002,0.515,68.5,false,6.25,1.000,0.523,js8call
rtty,baud50,1089,0.0110,20,60.8,23.4,10,5,0.002,0.515,67.0,false,6.25,1.000,0.540,js8call
rtty,baud50,1160,0.0074,20,62.3,17.6,10,2,0.002,0.495,69.5,false,6.25,1.000,0.495,js8call
rtty,baud50,1037,0.0108,20,62.1,17.6,10,5,0.002,0.500,71.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1037,0.0113,20,60.3,23.4,10,5,0.002,0.500,62.0,false,6.25,1.000,0.562,ft8
rtty,baud50,990,0.0103,20,64.0,17.6,10,7,0.002,0.515,75.5,false,6.25,1.000,0.426,ft8
rtty,baud50,1083,0.0098,20,61.7,17.6,10,3,0.002,0.515,68.5,false,6.25,1.000,0.523,js8call
rtty,baud50,1160,0.0074,20,61.9,23.4,10,4,0.002,0.495,59.5,false,6.25,1.000,1.000,js8call
rtty,baud50,1160,0.0074,20,62.3,17.6,10,2,0.002,0.495,69.5,false,6.25,1.000,0.495,js8call
rtty,baud50,1160,0.0074,20,61.9,23.4,10,4,0.002,0.495,59.5,false,6.25,1.000,1.000,js8call
rtty,baud50,990,0.0103,20,64.0,17.6,10,7,0.002,0.515,75.5,false,6.25,1.000,0.426,ft8
rtty,baud50,1037,0.0097,20,62.2,17.6,10,4,0.002,0.505,66.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1160,0.0074,20,62.3,17.6,10,2,0.002,0.495,69.5,false,6.25,1.000,0.495,js8call
rtty,baud50,1037,0.0108,20,62.1,17.6,10,5,0.002,0.500,71.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1083,0.0098,20,61.7,17.6,10,3,0.002,0.515,68.5,false,6.25,1.000,0.523,js8call
rtty,baud50,1037,0.0108,20,62.1,17.6,10,5,0.002,0.500,71.0,false,6.25,1.000,0.495,js8call
rtty,baud50,1160,0.0074,20,62.3,17.6,10,2,0.002,0.495,69.5,false,6.25,1.000,0.495,js8call
rtty,baud50,990,0.0103,20,64.0,17.6,10,7,0.002,0.515,75.5,false,6.25,1.000,0.426,ft8
rtty,baud50,1037,0.0097,20,62.2,17.6,10,4,0.002,0.505,66.0,false,6.25,1.000,0.495,js8call
rtty,baud50,990,0.0103,20,64.0,17.6,10,7,0.002,0.515,75.5,false,6.25,1.000,0.426,ft8
rtty,baud75,1037,0.0137,20,60.3,23.4,10,7,0.002,0.510,65.5,false,6.25,1.000,0.633,ft8
rtty,baud75,884,0.0217,20,61.4,17.6,10,9,0.002,0.485,73.0,false,6.25,1.000,0.459,js8call
rtty,baud75,1013,0.0158,20,59.4,23.4,10,7,0.002,0.500,62.0,false,6.25,1.000,0.646,ft8
rtty,baud75,1013,0.0158,20,59.4,23.4,10,7,0.002,0.500,62.0,false,6.25,1.000,0.646,ft8
rtty,baud75,1019,0.0155,20,59.4,23.4,10,7,0.002,0.485,64.0,false,6.25,1.000,0.617,ft8
rtty,baud75,1013,0.0158,20,59.4,23.4,10,7,0.002,0.500,62.0,false,6.25,1.000,0.646,ft8
rtty,baud75,890,0.0227,20,59.7,23.4,10,9,0.002,0.530,67.5,false,6.25,1.000,0.625,ft8
rtty,baud75,884,0.0213,20,61.7,17.6,10,9,0.002,0.470,74.5,false,6.25,1.000,0.552,ft8
rtty,baud75,1037,0.0137,20,60.3,23.4,10,7,0.002,0.510,65.5,false,6.25,1.000,0.633,ft8
rtty,baud75,1013,0.0165,20,59.9,23.4,10,8,0.002,0.480,67.5,false,6.25,1.000,0.740,ft8
rtty,baud75,884,0.0226,20,60.6,23.4,10,9,0.002,0.465,70.5,false,6.25,1.000,0.606,ft8
rtty,baud75,1013,0.0158,20,59.4,23.4,10,7,0.002,0.500,62.0,false,6.25,1.000,0.646,ft8
rtty,baud75,1013,0.0165,20,59.9,23.4,10,8,0.002,0.480,67.5,false,6.25,1.000,0.740,ft8
rtty,baud75,1013,0.0158,20,59.4,23.4,10,7,0.002,0.500,62.0,false,6.25,1.000,0.646,ft8
rtty,baud75,1037,0.0137,20,60.3,23.4,10,7,0.002,0.510,65.5,false,6.25,1.000,0.633,ft8
rtty,baud75,1019,0.0155,20,59.4,23.4,10,7,0.002,0.485,64.0,false,6.25,1.000,0.617,ft8
rtty,baud75,1037,0.0137,20,60.3,23.4,10,7,0.002,0.510,65.5,false,6.25,1.000,0.633,ft8
rtty,baud75,1037,0.0137,20,60.3,23.4,10,7,0.002,0.510,65.5,false,6.25,1.000,0.633,ft8
rtty,baud75,884,0.0243,20,59.2,23.4,10,8,0.002,0.475,66.5,false,6.25,1.000,0.703,ft8
rtty,baud75,884,0.0243,20,59.2,23.4,10,8,0.002,0.475,66.5,false,6.25,1.000,0.703,ft8
rtty,baud75,1013,0.0158,20,59.4,23.4,10,7,0.002,0.500,62.0,false,6.25,1.000,0.646,ft8
rtty,baud75,884,0.0217,20,61.4,17.6,10,9,0.002,0.485,73.0,false,6.25,1.000,0.459,js8call
rtty,baud75,890,0.0227,20,59.7,23.4,10,9,0.002,0.530,67.5,false,6.25,1.000,0.625,ft8
rtty,baud75,1019,0.0155,20,59.4,23.4,10,7,0.002,0.485,64.0,false,6.25,1.000,0.617,ft8
rtty,baud75,1037,0.0137,20,60.3,23.4,10,7,0.002,0.510,65.5,false,6.25,1.000,0.633,ft8
rtty,baud75,884,0.0226,20,60.6,23.4,10,9,0.002,0.465,70.5,false,6.25,1.000,0.606,ft8
rtty,baud75,884,0.0217,20,61.4,17.6,10,9,0.002,0.485,73.0,false,6.25,1.000,0.459,js8call
rtty,baud75,1019,0.0155,20,59.4,23.4,10,7,0.002,0.485,64.0,false,6.25,1.000,0.617,ft8
rtty,baud75,884,0.0243,20,59.2,23.4,10,8,0.002,0.475,66.5,false,6.25,1.000,0.703,ft8
rtty,baud75,884,0.0243,20,59.2,23.4,10,8,0.002,0.475,66.5,false,6.25,1.000,0.703,ft8
rtty,snr30,714,0.0235,20,59.2,11.7,9,8,0.002,0.480,67.5,false,6.25,1.000,0.532,ft8
rtty,snr30,849,0.0166,20,57.9,17.6,9,2,0.002,0.515,55.5,false,6.25,1.000,0.490,js8call
rtty,snr30,849,0.0158,20,56.9,17.6,8,4,0.002,0.480,59.5,false,6.25,1.000,0.754,js8call
rtty,snr30,761,0.0204,20,59.3,11.7,9,8,0.002,0.520,68.0,false,6.25,1.000,0.532,ft8
rtty,snr30,867,0.0183,20,56.9,17.6,9,5,0.002,0.480,55.5,false,6.25,1.000,0.602,ft8
rtty,snr30,861,0.0189,20,56.8,17.6,9,5,0.002,0.480,57.5,false,6.25,1.000,0.602,ft8
rtty,snr30,808,0.0197,20,58.5,17.6,9,5,0.002,0.470,64.5,false,6.25,1.000,0.490,js8call
rtty,snr30,808,0.0199,20,57.7,17.6,9,4,0.002,0.490,59.0,false,6.25,1.000,0.457,ft8
rtty,snr30,896,0.0139,20,58.0,17.6,8,2,0.002,0.505,60.5,false,6.25,1.000,0.489,js8call
rtty,snr30,914,0.0135,20,58.1,17.6,8,2,0.002,0.505,59.0,false,6.25,1.000,0.490,js8call
rtty,snr30,867,0.0185,20,56.8,17.6,9,5,0.002,0.485,53.0,false,6.25,1.000,0.602,ft8
rtty,snr30,808,0.0198,20,58.3,17.6,9,5,0.002,0.505,62.0,false,6.25,1.000,0.490,js8call
